id;Tabloid;Nietabloid
5107059221;0.00000;0.00901
4272799909;0.00000;0.00348
3881309328;0.00625;0.00625
2372988997;0.00000;0.00000
2900037438;0.00877;0.00000
4745338914;0.00513;0.00000
3315081763;0.00641;0.01282
5396231192;0.00205;0.00410
3190379280;0.00000;0.00000
3416692093;0.00000;0.00000
5139097654;0.00723;0.00120
6097299260;0.00926;0.00000
2771629822;0.00000;0.00000
3578602472;0.00766;0.00383
2047720057;0.00000;0.00000
5032341175;0.01389;0.00772
5571023826;0.00000;0.00000
2186857832;0.00000;0.00000
5558326424;0.00000;0.00000
2540420123;0.00000;0.00000
4060919070;0.01233;0.00770
3219069790;0.00000;0.00000
1968256587;0.00000;0.00000
4080553649;0.00699;0.00699
2067928208;0.00000;0.00000
2895627679;0.01351;0.00000
2215163361;0.00000;0.00952
2461079003;0.00645;0.00000
2556081618;0.00331;0.00331
2145699858;0.00348;0.00000
2652827130;0.00000;0.00000
4095617738;0.00000;0.00769
3863037471;0.00000;0.00559
4943482022;0.00000;0.00000
4419968605;0.03659;0.00610
2981451586;0.00000;0.00000
3484715082;0.01015;0.00000
5742832094;0.00000;0.00000
6013721253;0.00000;0.00000
5599823425;0.00000;0.01389
3132622160;0.00459;0.00000
3891610028;0.01489;0.01489
5968668005;0.00000;0.00000
2798524512;0.01176;0.00000
6127558034;0.00606;0.00000
5326439674;0.00000;0.00000
4700368124;0.00000;0.00000
3611857829;0.00175;0.00175
5053282239;0.04380;0.00000
5253443325;0.00000;0.00000
4298702754;0.00500;0.00000
3168019149;0.02586;0.00000
3350187977;0.00000;0.00000
2087569616;0.00131;0.00131
3263181721;0.00820;0.00000
4906877331;0.00179;0.00000
5259521369;0.00000;0.00410
5321102576;0.00000;0.00000
5509244516;0.00350;0.00000
2391233820;0.00714;0.00000
2768376153;0.00382;0.00000
2447522986;0.00000;0.00000
5711216256;0.00687;0.00000
3359020942;0.00431;0.00431
5283989116;0.00000;0.01613
3395574679;0.00000;0.00000
5180353525;0.00357;0.00714
6012284766;0.01325;0.00662
5048411904;0.00000;0.01266
2542387758;0.00000;0.00000
3912216929;0.00790;0.00176
2283948792;0.00444;0.00148
2785988686;0.00000;0.00323
2338243797;0.00509;0.00000
4674067799;0.01026;0.00513
4541934308;0.00000;0.00633
2624558803;0.00673;0.01010
2661052525;0.00728;0.00000
5174855661;0.00498;0.00000
4759869747;0.00639;0.01278
2586482960;0.00000;0.00000
2102727390;0.00000;0.00000
2973833741;0.01117;0.00559
5095223162;0.00000;0.00000
5122188055;0.01794;0.00448
3447626470;0.00000;0.00000
3687438731;0.00000;0.00000
2526600098;0.01128;0.01128
2927616853;0.00465;0.00000
3930877019;0.00431;0.00000
2566301411;0.00592;0.00000
2888787444;0.00820;0.00000
3562678671;0.01316;0.00000
2740083273;0.00532;0.00000
2190587368;0.00000;0.00000
3333612313;0.00862;0.00000
4084601917;0.00897;0.00000
4522779499;0.05556;0.00000
2726151924;0.00000;0.01478
2400793633;0.00473;0.00236
6064395968;0.00461;0.00461
4980752202;0.00000;0.00997
3281502263;0.00000;0.00000
4284345462;0.01250;0.00000
6032218112;0.00000;0.01288
3451562549;0.00372;0.00000
4320719313;0.00000;0.00000
5102418270;0.00000;0.01316
5106361203;0.00000;0.00000
4625450763;0.00833;0.00208
3272108203;0.00649;0.00216
2326271614;0.00255;0.00000
6120122178;0.00353;0.00000
2244561541;0.00217;0.00108
3417349785;0.01143;0.00000
3172905560;0.00000;0.00000
3033182710;0.00227;0.00000
3292429983;0.00000;0.00000
2796202789;0.00000;0.00000
6039788529;0.00000;0.00000
2977325051;0.00000;0.00417
5444876287;0.04878;0.00000
3303963623;0.00000;0.00000
5811856828;0.00000;0.00000
5058891332;0.00000;0.00000
3897170650;0.00000;0.00000
5406211077;0.00000;0.00000
2010273885;0.00606;0.00000
5397253394;0.00000;0.00000
2038676181;0.03067;0.00613
3398966832;0.00000;0.00000
3280318910;0.01119;0.00000
4770853708;0.01575;0.00000
5570601375;0.00299;0.00299
3054468766;0.00378;0.00252
5961534048;0.00344;0.00344
4386425055;0.00599;0.02994
5350210063;0.01366;0.00152
5626847411;0.00000;0.00475
1908349807;0.00823;0.00000
5250513600;0.00247;0.00247
4663995863;0.00000;0.00000
5973425523;0.00392;0.00000
4252783184;0.00000;0.00000
3245307865;0.00784;0.00000
4606768826;0.00000;0.00000
3533522332;0.00643;0.00000
4390618715;0.00000;0.00000
2945159982;0.00000;0.00000
3842784734;0.01136;0.00000
3981203295;0.00000;0.00000
4162178631;0.00000;0.00000
3489573289;0.00000;0.00870
2146667683;0.00000;0.00000
2779830083;0.00610;0.00000
6103045189;0.00604;0.00000
4162584654;0.11765;0.00000
5793477480;0.01304;0.00435
4605487172;0.00000;0.00000
3579180765;0.00000;0.01316
2905238739;0.00000;0.00000
4542883289;0.00687;0.00344
2086893768;0.00974;0.00000
4853106551;0.02210;0.00552
4618284086;0.00000;0.00578
2219289469;0.00621;0.00000
2345663575;0.00000;0.00000
5221009285;0.00000;0.00326
3757069606;0.00980;0.00000
3769372557;0.00000;0.01266
2690142243;0.00571;0.00000
4961427974;0.00000;0.00181
1866462319;0.00000;0.00000
5989559666;0.01200;0.00400
4895942047;0.00000;0.00000
2324069073;0.00000;0.00394
1969515911;0.01250;0.00000
1886755335;0.00926;0.00000
3701838645;0.00000;0.00699
5849297302;0.03401;0.00000
1949131337;0.00000;0.00000
2943488025;0.00000;0.00000
2243229036;0.00000;0.00811
5204172386;0.00000;0.00000
4529649354;0.00000;0.00000
3402653853;0.00000;0.00281
6028135280;0.00714;0.00000
5810553960;0.00000;0.00000
1902521464;0.00000;0.00000
4651354330;0.00505;0.01515
4690100896;0.01000;0.00000
5339532976;0.00000;0.00000
4141260432;0.00000;0.01246
2720629723;0.01818;0.00000
5092956891;0.00826;0.00000
2715521170;0.00000;0.00000
3342201907;0.00000;0.00000
4293436236;0.00000;0.00347
2632916872;0.00000;0.00637
4157394538;0.00000;0.00000
4716577991;0.00581;0.01744
3584968476;0.00000;0.00000
2858874904;0.01270;0.00000
4551934926;0.01299;0.00000
4683223137;0.00690;0.00000
5719011523;0.00606;0.00606
5108212191;0.00966;0.00483
3525087275;0.00000;0.00000
2035750644;0.00000;0.00000
4557065699;0.00463;0.00231
4945294327;0.02041;0.00000
4709913955;0.00562;0.01124
3234833618;0.00153;0.00767
2585902021;0.00000;0.00000
4443720841;0.00823;0.00000
2281878616;0.00382;0.00763
3851373944;0.00000;0.00000
3083844054;0.01639;0.00546
4488238197;0.01326;0.00663
4083479803;0.00000;0.00877
5194208114;0.00000;0.00794
3442560361;0.00442;0.00885
2442735125;0.01389;0.00000
2872060306;0.00000;0.00541
2058428590;0.00000;0.01087
2827435264;0.00000;0.00000
2961937190;0.00000;0.00599
3456037392;0.01053;0.00000
6106787862;0.00000;0.00000
2789004094;0.01266;0.01266
3101739152;0.00758;0.00379
4104145882;0.00909;0.00000
5599416658;0.01594;0.00000
3978264110;0.00000;0.00000
3948771610;0.00402;0.00000
4423794164;0.01754;0.00000
1922887424;0.00465;0.00000
3518851178;0.00000;0.00350
2766310292;0.00000;0.00000
3930752351;0.01099;0.00000
3845622675;0.00345;0.00345
5365671443;0.00000;0.00000
2106585323;0.00930;0.00465
1948747778;0.00000;0.00000
4456305028;0.00000;0.00000
5294045942;0.00000;0.00000
5930013614;0.02105;0.01053
3592486319;0.00352;0.00352
2610014450;0.02778;0.00000
3358958410;0.00000;0.00000
