"","slowo","wartosc"
"21","swój",0.00467071622577756
"22","dobry",0.00339839325473563
"23","rok",0.00297428559772165
"24","jacobs",0.00297428559772165
"25","pupa",0.00255017794070768
"26","zrobiæ",0.00255017794070768
"27","pytaæ",0.00255017794070768
"28","ca³y",0.00255017794070768
"29","mo¿na",0.00255017794070768
"30","walijczyk",0.00255017794070768
"31","wszystek",0.0021260702836937
"32","problem",0.0021260702836937
"33","mê¿czyzna",0.0021260702836937
"34","du¿y",0.0021260702836937
"35","œwiat",0.0021260702836937
"36","mecz",0.0021260702836937
"37","eliminacja",0.0021260702836937
"38","izrael",0.0021260702836937
"39","pierwszy",0.0021260702836937
"40","seks",0.00170196262667972
