"","slowo","wartosc"
"1","zdjêcie",0.0116644175283715
"2","gwiazda",0.00436210918061617
"3","jednak",0.00350301408088025
"4","swój",0.00307346653101229
"5","raz",0.00307346653101229
"6","miley",0.00264391898114434
"7","cyrus",0.00264391898114434
"8","osoba",0.00264391898114434
"9","ewa",0.00264391898114434
"10","pozowaæ",0.00264391898114434
"11","miejsce",0.00264391898114434
"12","pojawiæ",0.00264391898114434
"13","kreacja",0.00264391898114434
"14","nikt",0.00221437143127638
"15","wokó³",0.00221437143127638
"16","sesja",0.00221437143127638
"17","nago",0.00221437143127638
"18","cel",0.00221437143127638
"19","zrobiæ",0.00221437143127638
"20","powiedzieæ",0.00221437143127638
